3,1,1,1,136.143,272.571
3,1,1,2,135.857,279.607
3,1,1,4,134.500,288.821
3,1,1,3,134.750,288.107
3,1,1,5,140.464,300.857
3,1,2,1,130.857,270.429
3,1,2,2,127.679,273.571
3,1,2,3,137.107,292.107
3,1,2,5,139.071,299.179
3,1,2,4,143.143,303.393
3,1,3,4,128.750,281.429
3,1,3,1,134.286,280.536
3,1,3,2,139.750,292.821
3,1,3,3,134.893,288.071
3,1,3,5,132.071,289.964
3,1,4,1,125.393,264.679
3,1,4,3,130.607,276.321
3,1,4,4,130.321,283.964
3,1,4,5,132.393,285.143
3,1,4,2,135.000,285.464
3,1,5,2,126.714,265.214
3,1,5,1,124.071,261.250
3,1,5,5,136.214,291.679
3,1,5,4,132.857,284.893
3,1,5,3,130.750,280.750
3,2,1,1,112.179,225.857
3,2,1,2,122.143,253.321
3,2,1,4,127.107,273.393
3,2,1,5,128.821,280.750
3,2,1,3,129.929,273.429
3,2,2,1,115.893,245.571
3,2,2,2,124.464,265.107
3,2,2,5,133.286,289.179
3,2,2,3,134.929,284.321
3,2,2,4,127.321,279.750
3,2,3,1,110.357,230.893
3,2,3,4,122.357,266.786
3,2,3,5,121.250,268.179
3,2,3,2,125.929,265.821
3,2,3,3,130.393,275.107
3,2,4,2,107.964,237.643
3,2,4,1,119.536,251.250
3,2,4,4,122.714,264.821
3,2,4,5,128.107,276.071
3,2,4,3,129.143,275.750
3,2,5,1,108.857,237.036
3,2,5,3,114.750,248.429
3,2,5,2,113.893,248.286
3,2,5,4,123.536,265.893
3,2,5,5,121.750,265.179
3,3,1,1,74.571,165.893
3,3,1,2,95.607,205.357
3,3,1,3,97.679,210.071
3,3,1,4,104.179,226.393
3,3,1,5,104.393,233.036
3,3,2,1,73.179,163.714
3,3,2,3,97.536,216.643
3,3,2,2,100.321,214.714
3,3,2,4,108.393,239.143
3,3,2,5,120.536,262.214
3,3,3,1,93.536,201.929
3,3,3,2,96.964,212.000
3,3,3,3,104.643,230.179
3,3,3,4,116.036,248.786
3,3,3,5,111.000,244.500
3,3,4,1,80.143,185.214
3,3,4,2,88.607,198.286
3,3,4,5,106.143,235.786
3,3,4,3,111.214,243.393
3,3,4,4,110.250,242.000
3,3,5,2,87.357,196.893
3,3,5,1,89.429,200.179
3,3,5,3,99.464,221.250
3,3,5,5,98.964,224.179
3,3,5,4,112.179,243.429
3,4,1,1,35.643,97.250
3,4,1,2,47.036,116.929
3,4,1,3,62.357,150.929
3,4,1,5,80.750,182.964
3,4,1,4,80.321,181.536
3,4,2,1,63.000,152.321
3,4,2,2,73.964,170.607
3,4,2,4,86.679,197.893
3,4,2,3,94.500,209.179
3,4,2,5,95.464,216.393
3,4,3,1,62.571,151.036
3,4,3,2,68.893,165.536
3,4,3,3,87.071,200.143
3,4,3,5,100.821,222.786
3,4,3,4,96.893,216.714
3,4,4,1,58.714,145.393
3,4,4,2,71.000,167.857
3,4,4,3,79.607,182.071
3,4,4,4,79.893,185.357
3,4,4,5,88.429,207.643
3,4,5,1,53.464,138.714
3,4,5,3,65.607,161.036
3,4,5,2,71.357,169.321
3,4,5,5,89.857,206.286
3,4,5,4,90.179,205.071
3,5,1,1,23.571,79.750
3,5,1,2,31.321,94.714
3,5,1,3,37.643,102.893
3,5,1,4,41.357,112.143
3,5,1,5,56.679,136.500
3,5,2,1,42.464,117.643
3,5,2,2,54.857,136.500
3,5,2,4,66.750,157.321
3,5,2,3,65.107,155.750
3,5,2,5,71.107,172.143
3,5,3,1,49.107,128.679
3,5,3,2,59.321,145.214
3,5,3,3,66.821,162.679
3,5,3,4,73.143,175.036
3,5,3,5,81.429,189.714
3,5,4,1,51.536,135.893
3,5,4,2,58.607,146.536
3,5,4,3,66.036,158.750
3,5,4,4,76.857,172.786
3,5,4,5,81.786,189.929
3,5,5,1,53.536,137.964
3,5,5,2,56.429,145.071
3,5,5,3,65.321,161.857
3,5,5,4,70.857,171.607
3,5,5,5,72.536,173.929
4,1,1,1,127.750,253.107
4,1,1,2,129.679,268.393
4,1,1,3,138.286,285.500
4,1,1,4,134.321,282.393
4,1,1,5,139.643,294.571
4,1,2,1,134.036,270.536
4,1,2,3,139.607,291.071
4,1,2,2,137.000,284.214
4,1,2,5,136.357,295.857
4,1,2,4,138.536,293.500
4,1,3,1,127.571,266.071
4,1,3,2,129.893,274.071
4,1,3,4,134.536,291.036
4,1,3,3,138.321,293.929
4,1,3,5,141.429,300.607
4,1,4,1,128.679,269.571
4,1,4,2,131.857,279.429
4,1,4,3,143.357,295.464
4,1,4,4,137.750,295.179
4,1,4,5,134.036,289.964
4,1,5,1,129.607,267.714
4,1,5,2,132.786,273.179
4,1,5,5,131.893,286.679
4,1,5,3,132.143,282.893
4,1,5,4,137.714,289.893
4,2,1,1,124.464,234.750
4,2,1,2,126.786,246.607
4,2,1,3,133.429,275.179
4,2,1,4,124.464,262.214
4,2,1,5,133.179,283.286
4,2,2,2,130.107,268.857
4,2,2,1,129.143,264.607
4,2,2,4,135.893,285.321
