b2 bh7 fh4 ch1 y2 s2,131,166,130,77,91,78,151,116,71,167,78,106,196,136,71,148,142,101,121,106
b2 bh7 fh4 ch1 y2 s2,93,61,77,86,63,42,111,84,141,114,81,61,49,126,95,59,131,51,56,96
b2 bh7 fh4 ch1 y2 s2,96,88,126,78,83,106,76,143,84,106,82,67,157,162,71,67,97,65,56,54
b2 bh7 fh4 ch1 y2 s2,126,81,97,101,72,150,111,93,140,76,43,121,92,41,101,140,86,160,41,61
b2 bh7 fh4 ch1 y2 s2,105,54,80,123,62,76,76,104,63,102,133,104,75,221,108,61,69,54,81,81
b2 bh7 fh4 ch1 y2 s2,119,61,83,121,71,94,76,116,64,107,135,126,131,221,110,63,71,52,83,81
b2 bh7 fh4 ch1 y2 s2,141,89,78,66,61,142,87,78,67,151,68,94,61,171,65,76,89,96,80,103
b2 bh7 fh4 ch1 y2 s2,111,111,136,66,61,84,87,130,67,96,68,94,61,121,66,106,141,96,80,101
b2 bh7 fh4 ch1 y2 s2,137,129,155,107,101,76,126,107,56,111,97,87,117,106,82,156,94,78,90,88
b2 bh7 fh4 ch1 y2 s2,101,166,126,155,161,101,116,121,95,124,107,76,163,104,68,232,127,101,84,61
b2 bh7 fh4 ch1 y2 s2,144,192,134,73,111,159,151,126,128,155,121,82,161,202,103,126,167,101,71,88
b2 bh7 fh4 ch1 y2 s2,141,129,161,94,86,76,151,128,121,111,107,82,96,106,82,101,101,96,60,88
b2 bh7 fh4 ch1 y2 s2,144,192,134,73,111,159,151,126,128,155,121,82,161,202,103,126,167,101,71,88
b2 bh7 fh4 ch1 y2 s2,144,192,134,73,111,159,151,126,128,155,121,82,161,104,103,126,167,101,71,88
b2 bh7 fh4 ch1 y1 s2,91,123,185,121,107,161,126,127,134,91,106,126,101,156,126,36,143,178,96,56
b2 bh7 fh4 ch1 y1 s2,121,129,221,122,166,156,140,121,101,111,107,128,100,214,109,124,201,108,101,112
b2 bh7 fh4 ch1 y1 s2,82,62,116,83,77,86,111,86,86,112,51,172,67,156,70,36,161,75,72,99
b2 bh7 fh4 ch1 y1 s2,128,91,181,100,126,164,129,127,148,116,104,163,145,71,136,86,100,102,82,56
b2 bh7 fh4 ch1 y1 s2,86,68,84,88,77,109,98,81,116,113,99,71,74,101,91,36,85,76,85,61
b2 bh7 fh4 ch1 y1 s2,128,91,181,141,126,157,133,127,101,116,56,93,111,103,136,97,121,117,106,86
b2 bh7 fh4 ch1 y1 s2,128,91,181,141,126,157,133,127,101,116,56,93,111,103,136,97,121,117,106,86
b2 bh7 fh4 ch1 y1 s2,121,129,221,122,166,156,140,121,101,111,107,128,100,214,109,124,201,108,101,112
b2 bh7 fh4 ch1 y1 s2,128,91,181,100,126,164,129,127,148,116,104,163,145,71,136,86,100,102,82,56
b2 bh7 fh4 ch1 y1 s2,91,123,185,121,107,161,126,127,134,91,106,126,101,156,126,36,143,178,96,56
b2 bh7 fh4 ch1 y1 s2,121,196,161,121,73,166,126,93,121,121,91,80,84,106,73,36,91,101,106,90
b2 bh7 fh4 ch1 y1 s2,121,176,151,96,71,107,76,191,126,121,96,120,91,106,67,86,91,86,126,61
b2 bh7 fh4 ch1 y1 s2,97,62,120,98,74,107,115,108,113,121,56,119,91,124,62,36,94,64,86,91
