b20 bh70 fh40 ch1 y10 s20,123,109,186,154,77,126,91,157,92,97,121,141,151,136,99,195,116,152,121,126
b20 bh70 fh40 ch5 y10 s20,158,127,211,106,121,117,151,161,141,220,114,144,127,181,98,99,96,101,116,101
b20 bh70 fh40 ch9 y10 s20,157,181,196,95,116,78,161,209,124,166,101,128,156,106,144,96,138,132,119,49
b2 bh7 fh4 ch1 y1 s2,164,174,176,118,84,86,129,210,101,102,123,126,128,138,106,83,156,102,111,81
b2 bh7 fh4 ch1 y1 s2,136,174,222,106,81,141,149,202,142,121,125,101,177,128,117,101,156,91,146,65
b2 bh7 fh4 ch1 y1 s2,153,174,206,153,82,129,87,161,106,106,127,101,156,151,68,96,156,91,136,65
b2 bh7 fh4 ch1 y1 s2,149,174,206,117,81,148,142,223,121,93,125,97,146,128,88,91,125,101,111,61
b2 bh7 fh4 ch1 y1 s2,136,174,222,106,81,141,149,202,142,121,125,101,177,128,117,101,156,91,146,65
b2 bh7 fh4 ch1 y1 s2,164,174,176,118,84,86,129,210,101,102,123,126,128,138,106,83,156,102,111,81
b2 bh7 fh4 ch1 y1 s2,116,150,213,76,176,143,161,107,101,111,121,126,93,225,101,119,201,111,113,81
