355,363
95,50
168,166
142,106
473,460
185,143
257,222
659,632
279,229
345,308
272,217
476,477
578,579
212,185
413,331
213,141
334,311
381,338
114,79
99,58
451,417
339,315
527,524
795,753
109,60
451,427
95,54
166,129
274,242
62,19
225,162
217,181
513,529
93,43
125,76
432,415
123,107
188,143
149,139
156,90
149,117
360,280
186,136
266,202
278,225
376,306
195,167
318,268
99,61
447,387
376,418
684,671
388,355
244,211
472,457
415,339
489,449
317,297
153,127
301,251
120,77
102,61
156,114
140,106
1443,1414
80,69
196,165
156,126
176,132
343,299
555,591
85,34
236,214
216,164
88,43
196,161
476,448
210,155
464,421
293,255
729,673
113,69
136,112
178,126
302,213
131,123
162,114
345,356
84,46
322,316
352,357
212,166
236,179
447,385
266,235
131,101
255,214
155,168
298,265
251,261
