534,372
149,103
400,312
86,36
331,199
372,267
170,116
131,69
383,301
159,79
409,273
234,147
347,211
309,226
226,142
286,166
316,215
457,330
61,17
397,254
94,34
570,419
229,149
212,115
150,80
131,55
313,212
350,229
297,208
101,40
342,226
446,341
231,153
151,92
167,89
380,300
187,100
325,224
233,140
139,100
130,67
185,121
151,77
211,131
154,95
328,222
140,68
343,219
424,289
78,36
136,62
263,156
289,181
212,129
60,13
250,132
239,177
144,88
254,166
278,193
220,132
167,85
107,75
329,218
725,549
291,190
187,112
290,184
287,179
156,78
169,97
335,219
270,181
350,258
205,131
239,152
269,163
134,64
151,82
364,242
422,322
327,231
272,168
349,233
223,141
206,121
370,241
246,146
163,83
570,450
267,186
220,149
178,95
400,288
122,59
97,35
136,62
186,103
239,168
193,104
