d3_h1_y1_b1,134.036,269.321
d3_h1_y1_b2,134.571,275.286
d3_h1_y1_b5,131.250,287.607
d3_h1_y1_b3,130.107,276.750
d3_h1_y1_b4,126.821,278.571
d3_h1_y2_b1,127.500,263.179
d3_h1_y2_b2,132.536,279.964
d3_h1_y2_b3,129.679,282.071
d3_h1_y2_b5,136.321,293.750
d3_h1_y2_b4,135.357,299.071
d3_h1_y3_b1,130.964,267.964
d3_h1_y3_b3,133.893,283.893
d3_h1_y3_b2,133.786,283.929
d3_h1_y3_b4,133.179,286.536
d3_h1_y3_b5,139.929,302.107
d3_h1_y4_b2,133.071,276.786
d3_h1_y4_b1,129.000,270.821
d3_h1_y4_b3,132.821,282.107
d3_h1_y4_b5,129.643,286.536
d3_h1_y4_b4,137.071,290.393
d3_h1_y5_b2,124.643,265.214
d3_h1_y5_b1,129.179,267.464
d3_h1_y5_b5,131.250,281.000
d3_h1_y5_b3,130.393,277.929
d3_h1_y5_b4,135.643,291.357
d3_h2_y1_b1,115.536,232.964
d3_h2_y1_b2,114.357,239.000
d3_h2_y1_b4,126.536,269.500
d3_h2_y1_b5,118.893,261.143
d3_h2_y1_b3,129.571,272.786
d3_h2_y2_b1,120.571,252.214
d3_h2_y2_b3,124.714,272.071
d3_h2_y2_b2,127.536,270.286
d3_h2_y2_b5,134.357,288.357
d3_h2_y2_b4,132.536,288.286
d3_h2_y3_b1,105.821,230.429
d3_h2_y3_b2,123.571,261.857
d3_h2_y3_b3,126.643,271.607
d3_h2_y3_b4,131.714,278.929
d3_h2_y3_b5,135.429,290.000
d3_h2_y4_b1,118.179,250.536
d3_h2_y4_b2,118.250,252.143
d3_h2_y4_b3,120.929,259.250
d3_h2_y4_b5,128.571,275.536
d3_h2_y4_b4,133.143,283.286
d3_h2_y5_b1,110.179,235.964
d3_h2_y5_b2,123.286,262.143
d3_h2_y5_b3,123.179,266.071
d3_h2_y5_b5,121.500,265.107
d3_h2_y5_b4,126.214,271.071
d3_h3_y1_b1,81.107,173.179
d3_h3_y1_b2,90.893,192.357
d3_h3_y1_b4,96.821,218.036
d3_h3_y1_b3,106.429,225.607
d3_h3_y1_b5,113.929,244.143
d3_h3_y2_b2,94.929,207.071
d3_h3_y2_b1,92.821,201.607
d3_h3_y2_b3,106.536,232.679
d3_h3_y2_b4,115.107,249.536
d3_h3_y2_b5,120.357,262.464
d3_h3_y3_b1,98.357,214.214
d3_h3_y3_b2,103.786,221.429
d3_h3_y3_b3,109.036,236.179
d3_h3_y3_b4,112.964,248.643
d3_h3_y3_b5,120.321,261.357
d3_h3_y4_b1,90.179,198.786
d3_h3_y4_b2,98.000,210.321
d3_h3_y4_b3,106.393,236.000
d3_h3_y4_b5,109.893,245.321
d3_h3_y4_b4,110.536,242.679
d3_h3_y5_b2,79.464,185.000
d3_h3_y5_b1,89.821,200.357
d3_h3_y5_b4,109.000,238.964
d3_h3_y5_b3,110.179,238.679
d3_h3_y5_b5,114.107,250.036
d3_h4_y1_b1,31.393,89.286
d3_h4_y1_b2,49.679,122.786
d3_h4_y1_b3,56.786,137.143
d3_h4_y1_b4,74.714,168.536
d3_h4_y1_b5,85.750,189.643
d3_h4_y2_b1,62.893,148.857
d3_h4_y2_b3,70.143,166.321
d3_h4_y2_b2,79.107,178.536
d3_h4_y2_b5,97.500,217.393
d3_h4_y2_b4,98.714,219.857
d3_h4_y3_b2,69.607,162.786
d3_h4_y3_b1,72.964,167.536
d3_h4_y3_b3,89.286,198.357
d3_h4_y3_b5,92.857,212.464
d3_h4_y3_b4,90.143,204.429
d3_h4_y4_b1,64.929,155.679
d3_h4_y4_b3,69.357,167.464
d3_h4_y4_b4,86.036,197.357
d3_h4_y4_b5,82.821,193.000
d3_h4_y4_b2,88.214,198.536
d3_h4_y5_b1,68.786,164.000
d3_h4_y5_b3,75.036,177.321
d3_h4_y5_b2,75.250,176.857
d3_h4_y5_b4,88.643,201.000
d3_h4_y5_b5,98.036,221.786
d3_h5_y1_b1,23.536,78.929
d3_h5_y1_b2,31.929,93.179
d3_h5_y1_b3,36.036,99.857
d3_h5_y1_b4,42.286,111.143
d3_h5_y1_b5,53.964,131.964
d3_h5_y2_b1,44.714,118.607
d3_h5_y2_b2,54.321,135.786
d3_h5_y2_b3,61.000,146.964
d3_h5_y2_b4,76.429,173.000
d3_h5_y2_b5,67.786,165.071
d3_h5_y3_b1,48.500,126.179
d3_h5_y3_b2,61.179,145.536
d3_h5_y3_b3,62.107,156.571
d3_h5_y3_b4,75.071,175.143
d3_h5_y3_b5,79.286,186.607
d3_h5_y4_b1,43.964,118.679
d3_h5_y4_b2,63.714,153.000
d3_h5_y4_b3,69.107,165.679
d3_h5_y4_b4,78.500,184.679
d3_h5_y4_b5,85.679,197.750
d3_h5_y5_b1,53.964,139.429
d3_h5_y5_b3,61.357,152.429
d3_h5_y5_b2,64.929,157.500
d3_h5_y5_b4,82.679,188.036
d3_h5_y5_b5,88.393,196.679
