43,15
81,77
99,80
61,36
151,129
72,37
92,60
97,59
109,92
98,60
98,64
96,65
111,85
56,32
100,71
67,40
76,38
92,59
85,48
63,31
121,90
81,53
127,103
99,65
85,55
80,45
91,69
83,46
107,83
85,60
85,55
108,79
101,66
71,37
109,69
55,25
91,69
135,101
53,26
89,59
92,59
73,48
103,78
67,37
116,92
62,39
139,109
140,104
163,136
81,49
65,32
91,74
121,90
52,26
115,79
83,47
80,45
85,53
141,134
77,43
97,74
103,75
68,46
115,100
86,51
88,49
85,49
43,11
114,87
64,33
84,50
27,1
91,60
91,53
102,85
109,70
122,119
44,18
127,120
97,67
88,65
98,74
67,46
133,105
109,71
63,29
104,84
72,38
82,55
85,56
56,22
141,125
123,84
115,86
117,80
78,45
82,50
112,80
90,50
85,59
