b2 bh7 fh4 ch1 y2 s2,102,110,96,38,55,38,97,73,40,133,45,60,160,95,37,114,97,66,85,64
b2 bh7 fh4 ch1 y2 s2,57,27,50,62,32,11,77,60,125,93,48,27,15,93,57,25,111,21,22,68
b2 bh7 fh4 ch1 y2 s2,61,57,104,45,45,90,46,109,49,77,47,30,139,140,68,35,67,39,22,21
b2 bh7 fh4 ch1 y2 s2,100,47,57,60,44,116,77,60,123,44,16,94,63,10,61,91,50,113,22,26
b2 bh7 fh4 ch1 y2 s2,63,19,42,84,27,52,46,55,30,66,95,72,40,186,65,30,30,32,46,52
b2 bh7 fh4 ch1 y2 s2,81,22,46,82,34,63,46,64,31,68,96,95,92,186,65,31,30,32,46,52
b2 bh7 fh4 ch1 y2 s2,98,54,42,41,36,106,50,34,51,121,36,59,25,156,32,41,61,70,40,65
b2 bh7 fh4 ch1 y2 s2,80,77,99,41,28,47,50,101,51,57,36,59,25,89,34,66,101,70,40,68
b2 bh7 fh4 ch1 y2 s2,101,87,112,81,55,37,91,70,27,75,71,47,81,67,50,114,59,39,48,55
b2 bh7 fh4 ch1 y2 s2,73,120,86,108,141,60,69,100,58,94,64,39,110,78,30,198,97,58,44,27
b2 bh7 fh4 ch1 y2 s2,102,152,111,40,69,112,108,106,105,108,85,42,119,160,59,88,127,58,35,56
b2 bh7 fh4 ch1 y2 s2,98,87,117,59,52,37,108,82,85,75,80,42,59,59,50,105,70,59,21,56
b2 bh7 fh4 ch1 y2 s2,102,152,111,40,69,112,108,106,105,108,85,42,119,160,59,88,127,58,35,56
b2 bh7 fh4 ch1 y2 s2,102,152,111,40,69,112,108,106,105,108,85,42,119,78,59,88,127,58,35,56
b2 bh7 fh4 ch1 y1 s2,58,82,141,86,62,120,80,107,93,56,85,92,65,127,90,8,102,135,51,24
b2 bh7 fh4 ch1 y1 s2,85,99,200,73,130,115,95,74,63,76,85,90,68,174,78,78,169,69,58,72
b2 bh7 fh4 ch1 y1 s2,54,27,86,54,40,55,78,57,65,72,32,169,31,111,53,5,125,45,44,67
b2 bh7 fh4 ch1 y1 s2,95,60,150,60,96,157,85,107,118,83,73,117,119,36,93,52,73,70,47,24
b2 bh7 fh4 ch1 y1 s2,56,36,59,59,37,86,61,47,77,79,77,39,40,65,63,5,47,46,58,32
b2 bh7 fh4 ch1 y1 s2,95,60,142,93,96,147,78,107,65,83,24,55,84,67,93,60,81,87,62,56
b2 bh7 fh4 ch1 y1 s2,95,60,142,93,96,147,78,107,65,83,24,55,84,67,93,60,81,87,62,56
b2 bh7 fh4 ch1 y1 s2,85,99,200,73,130,115,95,74,63,76,85,90,68,174,78,78,169,69,58,72
b2 bh7 fh4 ch1 y1 s2,95,60,150,60,96,157,85,107,118,83,73,117,119,36,93,52,73,70,47,24
b2 bh7 fh4 ch1 y1 s2,58,82,141,86,62,120,80,107,93,56,85,92,65,127,90,8,102,135,51,24
b2 bh7 fh4 ch1 y1 s2,81,157,122,86,41,122,80,56,103,99,58,39,52,98,36,8,63,64,70,60
b2 bh7 fh4 ch1 y1 s2,81,128,130,56,41,89,52,150,97,94,75,94,54,98,33,49,58,53,88,37
b2 bh7 fh4 ch1 y1 s2,70,27,101,67,35,89,78,65,70,94,28,78,54,99,26,5,54,26,51,64
b2 bh7 fh4 ch1 y1 s2,54,27,86,101,40,55,78,57,65,72,32,169,31,111,53,5,125,45,44,67
b2 bh7 fh4 ch1 y1 s2,68,37,106,46,27,60,61,49,43,63,32,55,40,77,30,5,125,72,23,105
b2 bh7 fh4 ch1 y1 s2,56,36,59,52,37,86,61,47,77,79,77,39,40,65,63,5,47,46,58,32
b2 bh7 fh4 ch1 y1 s2,85,99,200,73,130,115,95,74,63,76,85,90,68,174,78,78,169,69,58,72
b2 bh7 fh4 ch1 y1 s2,85,99,200,73,130,115,95,74,63,76,85,90,68,174,78,78,169,69,58,72
b2 bh7 fh4 ch1 y1 s2,85,99,200,73,68,115,95,74,63,76,85,90,68,174,78,78,169,69,58,72
b2 bh7 fh4 ch1 y1 s2,85,99,200,73,68,115,95,74,63,76,85,58,68,174,78,78,169,69,58,72
b2 bh7 fh4 ch1 y1 s2,85,99,200,73,68,115,95,74,63,110,85,58,68,82,78,58,163,69,81,72
b2 bh7 fh4 ch1 y1 s2,85,102,185,73,68,51,65,165,102,70,67,58,68,75,92,62,91,69,81,72
b2 bh7 fh4 ch1 y1 s2,85,83,165,73,68,125,90,159,102,70,80,40,68,75,69,62,91,57,50,72
b2 bh7 fh4 ch1 y1 s2,85,83,165,73,68,125,72,159,102,70,73,40,68,75,69,62,91,57,85,72
b2 bh7 fh4 ch1 y1 s2,110,99,118,73,68,115,156,76,85,64,58,34,87,70,78,78,110,78,94,27
b2 bh7 fh4 ch1 y1 s2,116,72,105,78,102,99,65,139,83,79,85,143,62,81,118,90,67,64,55,44
b2 bh7 fh4 ch1 y1 s2,106,72,106,53,66,94,51,153,101,79,85,31,62,132,65,113,59,87,85,29
b2 bh7 fh4 ch1 y1 s2,75,89,70,75,70,94,91,159,47,97,81,143,122,96,65,47,52,64,66,82
b2 bh7 fh4 ch1 y1 s2,120,119,165,116,51,98,58,109,68,79,89,67,116,111,40,57,122,48,94,27
